"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_symbol","ensembl_id","feature_num"
1.03657996303143e-39,1.75435408351959,0.473,0.116,1.60452212477636e-35,"25","Feature18100","Tbcel",NA,18100
1.22460863862181e-39,0.888449014009682,1,0.869,1.8955717117227e-35,"25","Feature19196","Tuba1a",NA,19196
1.32166838204158e-39,1.82687787420859,0.473,0.117,2.04581048856215e-35,"25","Feature5649","Elmod1",NA,5649
1.34759273922568e-39,1.93538451926368,0.467,0.114,2.08593880104743e-35,"25","Feature17726","Stk11",NA,17726
2.69243815909662e-39,2.04275394677426,0.367,0.075,4.16762502646565e-35,"25","Feature8943","Ino80b",NA,8943
3.57648565521263e-39,1.96411887064348,0.44,0.104,5.53604214570363e-35,"25","Feature9750","Ldb2",NA,9750
4.28324102060725e-39,2.12729122394116,0.413,0.093,6.63002877579795e-35,"25","Feature5559","Ehbp1l1",NA,5559
7.85223391378185e-39,1.85348248170131,0.433,0.101,1.21544728751429e-34,"25","Feature6618","Galk1",NA,6618
1.24037690562455e-38,1.98821244562137,0.327,0.062,1.91997941221624e-34,"25","Feature8557","Hrasls",NA,8557
1.31582540141622e-38,2.05886013691202,0.267,0.043,2.03676613885217e-34,"25","Feature18187","Tctn3",NA,18187
2.10371516834905e-38,1.27860150074301,0.567,0.151,3.25634070908749e-34,"25","Feature16906","Slc38a3",NA,16906
2.20305913063466e-38,1.85797049059534,0.46,0.115,3.41011522830939e-34,"25","Feature18363","Tigd2",NA,18363
2.66762919859382e-38,1.65617332383654,0.553,0.158,4.12922323650338e-34,"25","Feature17356","Sorbs1",NA,17356
2.77555297482029e-38,1.73400226366746,0.62,0.195,4.29627844972433e-34,"25","Feature14484","Pofut2",NA,14484
3.21855890935971e-38,1.9608289826762,0.3,0.053,4.9820073357979e-34,"25","Feature18407","Tle3",NA,18407
3.55687765580435e-38,1.64410127056958,0.493,0.126,5.50569092341956e-34,"25","Feature17382","Sox2",NA,17382
5.92284897593363e-38,1.65860022588695,0.62,0.199,9.16797792984767e-34,"25","Feature14752","Prdx4",NA,14752
7.31235997359319e-38,1.38158087006526,0.94,0.608,1.13188020031249e-33,"25","Feature5385","Dynll1",NA,5385
8.43383715523286e-38,1.59841748692405,0.3,0.052,1.30547365325849e-33,"25","Feature16684","Slc12a4",NA,16684
8.65613727651202e-38,1.6171200053792,0.7,0.259,1.3398834890313e-33,"25","Feature2672","BC005624",NA,2672
1.26975505735883e-37,1.22130558387212,0.92,0.675,1.96545385328573e-33,"25","Feature9684","Laptm4a",NA,9684
1.32041286359863e-37,1.92218488347132,0.44,0.107,2.04386707156431e-33,"25","Feature868","4931406C07Rik",NA,868
1.33414151478705e-37,1.78034237000281,0.36,0.074,2.06511765073888e-33,"25","Feature3735","Cep164",NA,3735
2.35306778387313e-37,1.6461979348487,0.393,0.085,3.64231362265722e-33,"25","Feature10517","Mfrp",NA,10517
2.97003929209491e-37,1.81707484253418,0.513,0.145,4.59732382023371e-33,"25","Feature479","2610301B20Rik",NA,479
3.29608187080049e-37,1.87556508936651,0.487,0.13,5.10200512781208e-33,"25","Feature6296","Fgfr1",NA,6296
3.62730263291553e-37,1.63520980671208,0.367,0.076,5.61470174548995e-33,"25","Feature19183","Ttll5",NA,19183
5.75653218247136e-37,1.61994468651509,0.433,0.102,8.91053616524742e-33,"25","Feature3903","Cib1",NA,3903
5.80931449195778e-37,1.51209968346015,0.407,0.09,8.99223790210145e-33,"25","Feature5555","Egr2",NA,5555
6.09538739990042e-37,1.60291471690579,0.633,0.197,9.43505015630587e-33,"25","Feature4524","Ctxn1",NA,4524
1.0622034221459e-36,1.91475941552558,0.473,0.124,1.64418467713964e-32,"25","Feature4340","Creld2",NA,4340
1.06981348953499e-36,1.54564116161897,0.327,0.062,1.65596430045122e-32,"25","Feature9669","Lamb2",NA,9669
1.47585017304623e-36,1.61169365168733,0.653,0.227,2.28446848285825e-32,"25","Feature17619","Ssbp4",NA,17619
1.51039678558087e-36,1.46069912636784,0.853,0.437,2.33794318440063e-32,"25","Feature19243","Txn1",NA,19243
2.91376427910919e-36,1.49075675546266,0.76,0.31,4.51021572763311e-32,"25","Feature4814","Dbp",NA,4814
3.55367343398513e-36,1.96048550912375,0.273,0.047,5.50073110846558e-32,"25","Feature5402","Dzip1l",NA,5402
8.75514561482461e-36,1.89679985595255,0.387,0.088,1.3552089897187e-31,"25","Feature16265","Sdccag8",NA,16265
1.32256458367497e-35,1.76217893476315,0.347,0.071,2.04719771907049e-31,"25","Feature3260","Cc2d2a",NA,3260
1.69476958351975e-35,1.95172779232458,0.3,0.056,2.62333383833022e-31,"25","Feature17692","Stard10",NA,17692
1.76759270910626e-35,1.31367613857328,0.427,0.101,2.73605675442558e-31,"25","Feature16502","Sfxn5",NA,16502
2.16836287414127e-35,1.94413980657307,0.407,0.096,3.35640889288328e-31,"25","Feature15287","Rad50",NA,15287
3.10781946054763e-35,2.14995104198922,0.293,0.054,4.81059374298167e-31,"25","Feature8635","Hspb8",NA,8635
3.51834892238674e-35,1.64321814699607,0.58,0.184,5.44605229696244e-31,"25","Feature5504","Eea1",NA,5504
3.59648033022382e-35,1.72261948070774,0.367,0.081,5.56699190315345e-31,"25","Feature17572","Srgap3",NA,17572
4.3203424705977e-35,2.00828055419177,0.393,0.092,6.68745811023817e-31,"25","Feature4095","Cnot1",NA,4095
